YearMonth,Currency,AverageRate
2022-01,BND,1.3514184787956434
2022-01,IDR,14327.056093674712
2022-01,KHR,4072.629257786711
2022-01,LAK,11272.253421001242
2022-01,MMK,1777.2807334648417
2022-01,MYR,4.1864554942558
2022-01,PHP,51.21698367195931
2022-01,SGD,1.3514184787956434
2022-01,THB,33.276252212727506
2022-01,VND,22748.329719127953
2022-02,BND,1.3481659005353186
2022-02,IDR,14360.96061564402
2022-02,KHR,4067.0872944534226
2022-02,LAK,11409.780468154262
2022-02,MMK,1778.281766124256
2022-02,MYR,4.188697622270201
2022-02,PHP,51.37440667794833
2022-02,SGD,1.3481659005353186
2022-02,THB,32.58552964363629
2022-02,VND,22710.17698556757
2022-03,BND,1.3604532321780602
2022-03,IDR,14354.751092705246
2022-03,KHR,4051.869324631148
2022-03,LAK,11537.350545510859
2022-03,MMK,1776.0717552103952
2022-03,MYR,4.195727507969126
2022-03,PHP,52.27002991072455
2022-03,SGD,1.3604532321780602
2022-03,THB,33.42744145831138
2022-03,VND,22806.365419716312
2022-04,BND,1.3649385578988178
2022-04,IDR,14376.923457944999
2022-04,KHR,4049.2974294027063
2022-04,LAK,11902.952463645015
2022-04,MMK,1833.8033093973634
2022-04,MYR,4.253968326588869
2022-04,PHP,52.017946794680526
2022-04,SGD,1.3649385578988178
2022-04,THB,33.73018524544141
2022-04,VND,22872.769771855255
2022-05,BND,1.3821167982366729
2022-05,IDR,14579.133042734073
2022-05,KHR,4053.1812949148066
2022-05,LAK,12857.015172513215
2022-05,MMK,1852.476453729471
2022-05,MYR,4.378387517533786
2022-05,PHP,52.45951470957423
2022-05,SGD,1.3821167982366729
2022-05,THB,34.39828682559281
2022-05,VND,23116.033561776258
2022-06,BND,1.3848515927691136
2022-06,IDR,14700.9840812317
2022-06,KHR,4063.0261741874147
2022-06,LAK,14549.30401715956
2022-06,MMK,1853.1354462026784
2022-06,MYR,4.400226635933076
2022-06,PHP,53.794499400062755
2022-06,SGD,1.3848515927691136
2022-06,THB,35.00893801079093
2022-06,VND,23207.410546258907
2022-07,BND,1.395659499989466
2022-07,IDR,14984.541369842915
2022-07,KHR,4079.4559106919114
2022-07,LAK,15025.628726203628
2022-07,MMK,1852.0237351805463
2022-07,MYR,4.436509464326101
2022-07,PHP,55.796579105925076
2022-07,SGD,1.395659499989466
2022-07,THB,36.326401092119774
2022-07,VND,23389.525103947355
2022-08,BND,1.385116603109587
2022-08,IDR,14849.041595157081
2022-08,KHR,4109.621741450644
2022-08,LAK,15232.420632790589
2022-08,MMK,2003.6523976047527
2022-08,MYR,4.469188656232156
2022-08,PHP,55.82098985306645
2022-08,SGD,1.385116603109587
2022-08,THB,35.944372804600846
2022-08,VND,23364.244784866856
2022-09,BND,1.411135430491614
2022-09,IDR,14969.723466365069
2022-09,KHR,4116.733254213977
2022-09,LAK,15745.193330288377
2022-09,MMK,2097.9560793686496
2022-09,MYR,4.527243690914048
2022-09,PHP,57.53052371862055
2022-09,SGD,1.411135430491614
2022-09,THB,36.9337641966486
2022-09,VND,23574.725970035113
2022-10,BND,1.4252167254792234
2022-10,IDR,15449.768399173869
2022-10,KHR,4119.968019862397
2022-10,LAK,16871.0996386959
2022-10,MMK,2097.347026254715
2022-10,MYR,4.692178400762253
2022-10,PHP,58.76589464556209
2022-10,SGD,1.4252167254792234
2022-10,THB,38.01610776591754
2022-10,VND,24310.036452426917
2022-11,BND,1.384031341438522
2022-11,IDR,15675.538614338584
2022-11,KHR,4129.422053687219
2022-11,LAK,17068.0693914966
2022-11,MMK,2090.600968512277
2022-11,MYR,4.601704286090297
2022-11,PHP,57.41894789647688
2022-11,SGD,1.384031341438522
2022-11,THB,36.2942835052391
2022-11,VND,24846.66203342254
2022-12,BND,1.3535516835922516
2022-12,IDR,15582.555436421624
2022-12,KHR,4117.034781362855
2022-12,LAK,17321.897682978168
2022-12,MMK,2099.1294561008303
2022-12,MYR,4.409028094073791
